trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.5, 'e': 0.78382166588084923}",20,0,-67.153334716911,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.77757271875092793}",25,0,-239.21004448086887,"{0: 11, 1: 1, 2: 9, 3: 0, 4: 4}",0
69,False,"{'a': 0.5, 'e': 0.77124601499710654}",25,0,-76.03467127442892,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.76484218728448838}",25,0,-98.78388802127034,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.75836187599050819}",30,0,-86.08248849255989,"{0: 23, 1: 4, 2: 0, 3: 1, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.75180572914089505}",25,0,-130.24204937014534,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.74517440234487042}",20,0,-11.995719440862047,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.73846855872958794}",35,3,-139.97534406521515,"{0: 22, 1: 4, 2: 1, 3: 3, 4: 2}",1
75,False,"{'a': 0.5, 'e': 0.7316888688738209}",20,0,-109.39766133054897,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.7248360107409052}",30,0,-226.77342255937492,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
77,False,"{'a': 0.5, 'e': 0.7179106696109433}",20,0,0.20781846341218402,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.7109135380122773}",20,0,-31.162229050795336,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.70384531565223607}",20,0,-41.751096407469376,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.69670670934716539}",30,0,-98.46758812698752,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.68949843295174695}",30,0,-102.0085568692723,"{0: 20, 1: 0, 2: 9, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.68222120728761348}",30,20,-15.358263415451262,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.67487576007126704}",20,10,-86.2558866986287,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
84,False,"{'a': 0.5, 'e': 0.66746282584130812}",20,0,-17.68317891962266,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.65998314588498219}",20,0,-60.16206163034921,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
